birthplace,n_responses,region
Andreni Tanga,1,Tanga
Arumeru,2,Arusha
Arusha,4,Arusha
Arusha town,1,Arusha
Baradi,1,Simiyu
Biharanto,1,Kagera
Bukoba,4,Kagera
Bukoba district,2,Kagera
Bukoba rural,1,Kagera
Buksoa district,1,Kagera
Bunda,1,Mara
Bunda district,1,Mara
Buuoba,1,Kagera
Dar es Salaam,2,Dar es Salaam
Dodoma,4,Dodoma
Dodoma Mjini,1,Dodoma
Hai,2,Kilimanjaro
Haj,2,Kilimanjaro
Ilala,10,Dar es Salaam
Ilala - Dar-es-salaam,1,Dar es Salaam
Ilemela,1,Mwanza
Ilemera,1,Kagera
Ilemla,1,Mwanza
Iringa,4,Iringa
Kagera,1,Kagera
Kahama,5,Shinyanga
Kahama - Kagera,1,Kagera
Karagwe,3,Kagera
Karatu,1,Arusha
Karauwe,1,Kagera
Kasanka,1,Rukwa
Kasulu,4,Kigoma
Kigoma,3,Kigoma
Kilmanjaro,1,Kilimanjaro
Kilombero,1,Morogoro
Kindondoni,2,Dar es Salaam
Kinondoni,15,Dar es Salaam
Kitete,1,Tabora
Korogwe,3,Tanga
Kyela,2,Mbeya
Ludewa,1,Njombe
Mafinga,1,Iringa
Magomeni,1,Dar es Salaam
Magu,2,Mwanza
Makete,1,Njombe
Masasi,3,Mtwara
Maswa,1,Simiyu
Mbeya,4,Mbeya
MBEYA,1,Mbeya
Mbeya city,2,Mbeya
Mbeya District,1,Mbeya
Mbeya Town,2,Mbeya
Mbinga,2,Ruvuma
Mbozi,1,Songwe
Mileba,1,Kagera
Misslnyi,2,Kagera
Moshi,10,Kilimanjaro
Moshi Rural,3,Kilimanjaro
Mpanda,2,Katavi
Mpwapwa - Kikombo,1,Dodoma
Mtwara,2,Mtwara
Mufindi,1,Iringa
Muheza,1,Tanga
Muleba,8,Kagera
Muleba district,2,Kagera
Mulega,1,Kagera
Musoma,4,Mara
Musoma Town,1,Mara
Mwanga,3,Kilimanjaro
Mwanza,1,Mwanza
Mwanza district,1,Mwanza
Nachingwea,1,Lindi
Ngara,5,Kagera
Ngara-kagera,1,Kagera
Ngeza,1,Tanga
Njombe,4,Njombe
"Nyamagana, Mwanza",2,Mwanza
Rabati,1,Manyara
Rombo,5,Kilimanjaro
Rombo dsitricts,1,Kilimanjaro
Romso,1,Kilimanjaro
Rorya-Tarime,1,Mara
Same,1,Kilimanjaro
Shinyanga,3,Shinyanga
Singida,2,Singida
Singida Town,2,Singida
Songea (V),2,Ruvuma
Sumbawanga,4,Rukwa
Tabora,2,Tabora
Tanga,2,Tanga
Tarime,2,Mara
Temeke,3,Dar es Salaam
Teneke,2,Dar es Salaam
Ujiji kigoma,1,Kigoma
Urambo,1,Tabora
Uyole,1,Mbeya
Watu-Shinyaga,1,Shinyanga
Zanzibar,1,Zanzibar
